Year,Area,Item,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
1992,Australia,Soybean,1381,448,16.27,616
1992,Nigeria,Wheat,2153,288,20.71,2431
1992,Nigeria,Rice,1312,138,14.33,1012
1992,Nigeria,Maize,1419,135,12.35,4172
1992,Nigeria,Barley,787,246,17.0,3843
1992,Nigeria,Soybean,1512,496,26.43,1080
1992,Argentina,Wheat,2594,460,16.19,2179
1992,Argentina,Rice,1296,95,10.36,4545
1992,Argentina,Maize,1543,78,12.35,2641
1992,Argentina,Barley,2073,455,27.59,3459
1992,Argentina,Soybean,2565,483,22.29,2135
1993,India,Wheat,1612,263,20.85,2570
1993,India,Rice,2085,19,33.73,3349
1993,India,Maize,2789,105,31.41,1848
1993,India,Barley,815,25,11.76,1395
1993,India,Soybean,2507,484,30.02,2431
1993,USA,Wheat,2727,42,21.46,3238
1993,USA,Rice,1936,277,19.65,4413
1993,USA,Maize,1366,53,16.85,4607
1993,USA,Barley,1930,311,10.46,3046
1993,USA,Soybean,1053,44,18.41,4685
1993,Brazil,Wheat,1075,102,31.12,2125
1993,Brazil,Rice,717,124,17.05,3767
1993,Brazil,Maize,1125,123,25.72,912
1993,Brazil,Barley,1028,286,34.19,1175
1993,Brazil,Soybean,2192,466,24.21,3286
1993,China,Wheat,1422,45,19.3,2643
1993,China,Rice,1987,160,33.27,4632
1993,China,Maize,1848,288,28.86,4452
1993,China,Barley,2409,93,30.66,1865
1993,China,Soybean,696,196,12.5,895
1993,Australia,Wheat,2792,242,31.18,4860
1993,Australia,Rice,2802,293,33.75,4077
1993,Australia,Maize,1690,153,21.21,4991
1993,Australia,Barley,1792,493,33.65,1667
1993,Australia,Soybean,2916,48,12.28,3482
1993,Nigeria,Wheat,2745,232,11.4,1232
1993,Nigeria,Rice,534,340,12.93,1453
1993,Nigeria,Maize,2839,410,12.53,2042
1993,Nigeria,Barley,1497,150,15.56,3493
1993,Nigeria,Soybean,2981,203,12.03,3736
1993,Argentina,Wheat,1745,348,24.53,1888
1993,Argentina,Rice,2156,351,30.32,1010
1993,Argentina,Maize,516,310,28.83,3641
1993,Argentina,Barley,2110,454,19.45,2714
1993,Argentina,Soybean,390,211,32.66,4634
1994,India,Wheat,472,150,20.13,4209
1994,India,Rice,1381,157,12.97,1394
1994,India,Maize,1684,432,28.65,2496
1994,India,Barley,2695,199,20.01,2031
1994,India,Soybean,1123,426,15.59,633
1994,USA,Wheat,2405,53,34.45,2352
1994,USA,Rice,1114,158,11.09,3784
1994,USA,Maize,502,261,11.84,1750
1994,USA,Barley,1982,29,11.89,1756
1994,USA,Soybean,1849,152,21.36,1896
1994,Brazil,Wheat,770,450,32.88,1853
1994,Brazil,Rice,1267,367,21.39,1167
1994,Brazil,Maize,672,17,14.24,4685
1994,Brazil,Barley,839,229,19.01,4275
1994,Brazil,Soybean,2246,456,23.4,3008
1994,China,Wheat,1224,406,32.77,3824
1994,China,Rice,689,91,20.42,2338
1994,China,Maize,2244,459,12.07,1297
1994,China,Barley,1176,14,10.66,2324
1994,China,Soybean,673,74,22.01,4658
1994,Australia,Wheat,1540,351,30.73,4500
1994,Australia,Rice,1933,114,20.37,884
1994,Australia,Maize,704,320,31.62,2500
1994,Australia,Barley,1968,367,32.83,4136
1994,Australia,Soybean,1013,467,19.45,2548
1994,Nigeria,Wheat,350,182,25.15,2323
1994,Nigeria,Rice,2381,357,16.72,2074
1994,Nigeria,Maize,2501,259,23.01,2665
1994,Nigeria,Barley,1070,388,17.69,2484
1994,Nigeria,Soybean,1377,245,24.02,2348
1994,Argentina,Wheat,2748,121,22.0,3778
1994,Argentina,Rice,1552,350,25.98,2622
1994,Argentina,Maize,734,112,13.41,1829
1994,Argentina,Barley,2445,347,19.81,2982
1994,Argentina,Soybean,746,491,18.71,4761
1995,India,Wheat,1658,39,25.55,2628
1995,India,Rice,2480,294,13.68,3972
1995,India,Maize,1653,282,16.46,3531
1995,India,Barley,368,43,25.52,4800
1995,India,Soybean,2473,244,24.49,4542
1995,USA,Wheat,2206,120,13.22,3945
1995,USA,Rice,2235,17,14.5,3447
1995,USA,Maize,2019,290,32.42,3766
1995,USA,Barley,966,102,34.33,4656
1995,USA,Soybean,2981,60,11.02,4400
1995,Brazil,Wheat,2881,414,23.72,1023
1995,Brazil,Rice,2693,55,19.11,2253
1995,Brazil,Maize,2136,420,10.98,2796
1995,Brazil,Barley,2394,130,27.19,4702
1995,Brazil,Soybean,347,70,10.06,2555
1995,China,Wheat,924,364,14.61,3266
1995,China,Rice,602,136,33.1,1025
1995,China,Maize,773,37,19.22,3787
1995,China,Barley,664,163,10.92,2146
1995,China,Soybean,1218,247,28.74,2031
1995,Australia,Wheat,2206,24,12.62,2575
1995,Australia,Rice,1013,48,18.05,625
1995,Australia,Maize,836,154,18.57,2103
1995,Australia,Barley,366,242,22.46,2658
1995,Australia,Soybean,2575,120,28.42,4507
1995,Nigeria,Wheat,2942,51,17.09,3239
1995,Nigeria,Rice,1605,329,24.27,2475
1995,Nigeria,Maize,2662,374,18.26,3948
1995,Nigeria,Barley,1612,446,12.54,2233
1995,Nigeria,Soybean,1905,121,14.02,4017
1995,Argentina,Wheat,2697,104,11.39,1660
1995,Argentina,Rice,1058,396,23.11,1563
1995,Argentina,Maize,528,45,34.93,505
1995,Argentina,Barley,767,229,32.93,1145
1995,Argentina,Soybean,417,378,22.27,4789
1996,India,Wheat,1146,212,24.29,1641
1996,India,Rice,2110,221,22.69,4708
1996,India,Maize,2487,56,27.68,4915
1996,India,Barley,1873,302,22.65,2526
1996,India,Soybean,2606,170,19.23,2539
1996,USA,Wheat,309,270,11.58,2719
1996,USA,Rice,2360,177,30.25,820
1996,USA,Maize,1642,110,10.07,3324
1996,USA,Barley,2294,408,21.79,2538
1996,USA,Soybean,1418,314,31.27,4527
1996,Brazil,Wheat,535,443,13.11,875
1996,Brazil,Rice,1460,427,14.53,2070
1996,Brazil,Maize,2860,305,28.04,4143
1996,Brazil,Barley,2155,358,13.49,1372
1996,Brazil,Soybean,1552,279,29.99,1814
1996,China,Wheat,1024,174,30.36,577
1996,China,Rice,2921,141,17.9,1565
1996,China,Maize,2436,411,30.41,1818
1996,China,Barley,915,23,32.49,2690
1996,China,Soybean,1292,162,18.88,3554
1996,Australia,Wheat,802,459,23.59,4187
1996,Australia,Rice,2451,444,23.57,697
1996,Australia,Maize,1969,76,25.69,2535
1996,Australia,Barley,777,240,24.33,2704
1996,Australia,Soybean,2897,450,17.79,1450
1996,Nigeria,Wheat,2636,263,15.11,2357
1996,Nigeria,Rice,816,132,28.87,3353
1996,Nigeria,Maize,2232,168,19.47,3728
1996,Nigeria,Barley,2394,333,28.06,4725
1996,Nigeria,Soybean,394,124,27.35,1293
1996,Argentina,Wheat,2134,292,18.64,4606
1996,Argentina,Rice,2165,369,24.58,1314
1996,Argentina,Maize,645,311,25.37,2765
1996,Argentina,Barley,2488,113,22.65,1484
1996,Argentina,Soybean,1939,325,24.82,4951
1997,India,Wheat,1647,142,33.06,626
1997,India,Rice,903,296,25.17,4646
1997,India,Maize,1730,266,12.83,3976
1997,India,Barley,1945,429,13.12,3372
1997,India,Soybean,2154,447,22.97,3208
1997,USA,Wheat,1632,146,15.14,4712
1997,USA,Rice,1236,300,19.95,1036
1997,USA,Maize,1925,84,33.07,3781
1997,USA,Barley,774,427,32.96,1454
1997,USA,Soybean,1175,260,13.52,4620
1997,Brazil,Wheat,2290,189,20.47,4880
1997,Brazil,Rice,362,159,15.5,3620
1997,Brazil,Maize,1266,346,34.03,1188
1997,Brazil,Barley,447,127,31.52,2224
1997,Brazil,Soybean,1683,58,17.49,2259
1997,China,Wheat,1289,224,20.67,1451
1997,China,Rice,1022,327,15.13,2832
1997,China,Maize,728,486,21.8,3995
1997,China,Barley,2365,266,29.39,3557
1997,China,Soybean,493,485,22.03,3793
1997,Australia,Wheat,2001,444,13.88,3835
1997,Australia,Rice,354,368,28.83,1981
1997,Australia,Maize,2201,171,20.22,554
1997,Australia,Barley,2123,187,31.67,3579
1997,Australia,Soybean,1132,322,15.55,2990
1997,Nigeria,Wheat,2090,337,12.6,3810
1997,Nigeria,Rice,2926,60,26.32,3554
1997,Nigeria,Maize,1587,427,30.13,1811
1997,Nigeria,Barley,2838,409,19.93,664
1997,Nigeria,Soybean,481,478,20.16,1322
1997,Argentina,Wheat,1243,475,10.33,1274
1997,Argentina,Rice,2498,94,10.66,3952
1997,Argentina,Maize,1214,45,26.07,4677
1997,Argentina,Barley,813,394,30.44,4094
1997,Argentina,Soybean,1045,395,19.08,3690
1998,India,Wheat,695,29,25.6,1779
1998,India,Rice,2057,402,20.9,4077
1998,India,Maize,1687,289,12.86,3179
1998,India,Barley,2406,224,30.0,3268
1998,India,Soybean,2873,18,23.54,736
1998,USA,Wheat,1604,368,15.45,1801
1998,USA,Rice,2841,13,13.31,2576
1998,USA,Maize,2957,224,27.08,2675
1998,USA,Barley,2389,365,22.45,2581
1998,USA,Soybean,2000,162,22.44,2122
1998,Brazil,Wheat,641,478,16.59,1145
1998,Brazil,Rice,1030,177,16.27,954
1998,Brazil,Maize,2008,410,20.47,3181
1998,Brazil,Barley,1899,139,14.16,1886
1998,Brazil,Soybean,992,301,29.27,4624
1998,China,Wheat,448,276,17.22,1636
1998,China,Rice,486,304,25.26,1833
1998,China,Maize,397,64,26.59,2285
1998,China,Barley,1050,157,14.05,4420
1998,China,Soybean,664,491,25.58,2024
1998,Australia,Wheat,2420,210,18.79,1740
1998,Australia,Rice,360,436,24.96,4620
1998,Australia,Maize,1362,300,30.48,1752
1998,Australia,Barley,407,181,34.19,4697
1998,Australia,Soybean,2871,284,17.86,4590
1998,Nigeria,Wheat,1340,339,27.26,4607
1998,Nigeria,Rice,1641,89,31.82,4562
1998,Nigeria,Maize,2050,494,27.31,1209
1998,Nigeria,Barley,1523,34,32.58,4226
1998,Nigeria,Soybean,788,374,26.75,3859
1998,Argentina,Wheat,1077,25,33.13,4490
1998,Argentina,Rice,2117,478,21.83,890
1998,Argentina,Maize,634,126,28.28,3430
1998,Argentina,Barley,1821,324,33.61,3794
1998,Argentina,Soybean,1289,381,31.11,4997
1999,India,Wheat,1766,499,26.11,1682
1999,India,Rice,2967,197,22.03,630
1999,India,Maize,1494,433,21.03,4959
1999,India,Barley,338,24,30.1,4087
1999,India,Soybean,1672,479,17.97,3269
1999,USA,Wheat,315,435,31.92,4021
1999,USA,Rice,610,236,31.75,2961
1999,USA,Maize,550,256,14.64,4310
1999,USA,Barley,2214,48,10.24,4624
1999,USA,Soybean,1257,486,10.94,771
1999,Brazil,Wheat,2071,248,19.96,1420
1999,Brazil,Rice,639,398,28.31,4260
1999,Brazil,Maize,2350,438,18.87,2533
1999,Brazil,Barley,2671,155,15.84,931
1999,Brazil,Soybean,1004,446,34.69,3132
1999,China,Wheat,698,314,19.79,1463
1999,China,Rice,2534,302,29.66,1438
1999,China,Maize,1009,304,31.98,3915
1999,China,Barley,310,71,25.34,1384
1999,China,Soybean,1689,339,11.17,1324
1999,Australia,Wheat,2565,434,14.66,4345
1999,Australia,Rice,2096,63,34.23,3236
1999,Australia,Maize,1844,108,24.93,2096
1999,Australia,Barley,2214,499,22.88,1349
1999,Australia,Soybean,2409,154,13.85,4755
1999,Nigeria,Wheat,1080,129,28.7,3660
1999,Nigeria,Rice,2676,77,24.5,4181
1999,Nigeria,Maize,1590,114,19.78,3182
1999,Nigeria,Barley,1287,38,32.22,1855
1999,Nigeria,Soybean,469,18,18.23,2060
1999,Argentina,Wheat,1718,452,17.03,1474
1999,Argentina,Rice,337,337,27.39,1413
1999,Argentina,Maize,753,46,15.5,3520
1999,Argentina,Barley,1095,462,34.79,3611
1999,Argentina,Soybean,1624,233,22.9,2662
2000,India,Wheat,1646,65,26.55,4430
2000,India,Rice,2296,246,28.35,4811
2000,India,Maize,2683,177,16.13,2204
2000,India,Barley,662,54,27.44,4951
2000,India,Soybean,490,164,28.82,1056
2000,USA,Wheat,1125,258,10.73,3219
2000,USA,Rice,2710,446,28.59,4498
2000,USA,Maize,2429,365,23.9,1088
2000,USA,Barley,2312,21,10.16,3617
2000,USA,Soybean,1990,122,24.0,4955
2000,Brazil,Wheat,999,457,23.5,1507
2000,Brazil,Rice,1649,476,29.03,1747
2000,Brazil,Maize,1293,328,19.8,2882
2000,Brazil,Barley,1545,46,12.56,2387
2000,Brazil,Soybean,783,251,33.68,1540
2000,China,Wheat,2871,415,27.71,1385
2000,China,Rice,321,483,11.87,2853
2000,China,Maize,1003,184,34.22,4247
2000,China,Barley,1062,236,24.86,3007
2000,China,Soybean,1330,38,10.55,4499
2000,Australia,Wheat,2806,67,10.03,4053
2000,Australia,Rice,1753,235,34.93,538
2000,Australia,Maize,1186,294,27.34,2323
2000,Australia,Barley,2010,471,15.75,4030
2000,Australia,Soybean,1862,204,33.77,4011
2000,Nigeria,Wheat,1288,30,32.74,4526
2000,Nigeria,Rice,383,271,29.0,4463
2000,Nigeria,Maize,1233,24,28.65,2355
2000,Nigeria,Barley,1092,289,19.21,2755
2000,Nigeria,Soybean,1907,69,14.64,4176
2000,Argentina,Wheat,819,88,21.34,4133
2000,Argentina,Rice,2335,208,25.66,1459
2000,Argentina,Maize,2263,190,32.8,4973
2000,Argentina,Barley,826,162,10.03,3844
2000,Argentina,Soybean,1559,349,20.76,1516
2001,India,Wheat,1313,126,24.76,1083
2001,India,Rice,694,73,21.38,4667
2001,India,Maize,573,487,19.81,1889
2001,India,Barley,906,175,17.29,1228
2001,India,Soybean,2343,111,32.7,1278
2001,USA,Wheat,513,188,12.62,2948
2001,USA,Rice,2935,386,24.27,1091
2001,USA,Maize,1633,95,15.26,3220
2001,USA,Barley,1013,433,10.24,501
2001,USA,Soybean,2572,298,32.06,2449
2001,Brazil,Wheat,2936,125,18.95,3674
2001,Brazil,Rice,2541,175,24.19,2209
2001,Brazil,Maize,2469,152,15.0,1386
2001,Brazil,Barley,727,314,33.79,816
2001,Brazil,Soybean,2286,132,10.79,3644
2001,China,Wheat,2570,425,17.47,1215
2001,China,Rice,1587,337,27.85,3889
2001,China,Maize,1407,327,25.31,2930
2001,China,Barley,2354,468,32.37,1399
2001,China,Soybean,321,419,22.02,4609
2001,Australia,Wheat,1270,475,11.51,2634
2001,Australia,Rice,1860,310,25.39,4138
2001,Australia,Maize,1049,365,28.61,4304
2001,Australia,Barley,2656,192,11.09,4165
2001,Australia,Soybean,2289,411,26.33,811
2001,Nigeria,Wheat,1382,140,12.04,1254
2001,Nigeria,Rice,334,454,11.8,852
2001,Nigeria,Maize,1202,341,14.35,658
2001,Nigeria,Barley,2277,454,31.16,3279
2001,Nigeria,Soybean,1687,391,34.69,2212
2001,Argentina,Wheat,907,114,20.97,4311
2001,Argentina,Rice,2925,344,32.52,2297
2001,Argentina,Maize,594,435,34.8,4781
2001,Argentina,Barley,1569,134,15.27,1029
2001,Argentina,Soybean,2368,408,15.89,4091
2002,India,Wheat,2447,249,25.05,3869
2002,India,Rice,1239,23,34.28,874
2002,India,Maize,2640,334,11.73,2865
2002,India,Barley,1825,325,20.13,513
2002,India,Soybean,803,240,18.98,629
2002,USA,Wheat,1137,154,19.78,2540
2002,USA,Rice,327,75,31.45,4856
2002,USA,Maize,2346,458,29.34,4523
2002,USA,Barley,600,416,21.34,3966
2002,USA,Soybean,929,279,18.27,3391
2002,Brazil,Wheat,1161,370,20.77,2860
2002,Brazil,Rice,875,383,14.19,3692
2002,Brazil,Maize,2256,184,26.6,2712
2002,Brazil,Barley,2652,129,30.14,2703
2002,Brazil,Soybean,1690,216,23.95,1774
2002,China,Wheat,1256,413,16.74,1468
2002,China,Rice,2858,302,33.42,3344
2002,China,Maize,2466,44,21.3,4328
2002,China,Barley,1382,334,12.58,1729
2002,China,Soybean,1335,499,19.93,2789
2002,Australia,Wheat,1539,260,10.12,4565
2002,Australia,Rice,516,315,34.33,3749
2002,Australia,Maize,1218,437,23.31,4903
2002,Australia,Barley,1659,443,15.05,4970
2002,Australia,Soybean,2333,350,12.35,2299
2002,Nigeria,Wheat,1681,14,34.08,1698
2002,Nigeria,Rice,2658,128,33.62,3985
2002,Nigeria,Maize,2461,475,25.45,4219
2002,Nigeria,Barley,602,241,29.21,1486
2002,Nigeria,Soybean,2163,354,27.24,3572
2002,Argentina,Wheat,1610,473,30.67,1827
2002,Argentina,Rice,1392,370,12.66,3791
2002,Argentina,Maize,1309,201,11.21,3732
2002,Argentina,Barley,1412,185,28.81,4328
2002,Argentina,Soybean,2936,168,28.46,1847
2003,India,Wheat,793,141,26.69,4053
2003,India,Rice,2744,498,17.93,1888
2003,India,Maize,1654,138,13.01,1321
2003,India,Barley,754,98,18.21,3647
2003,India,Soybean,1010,152,27.39,3375
2003,USA,Wheat,2952,482,24.91,1235
2003,USA,Rice,2638,437,10.37,3838
2003,USA,Maize,1261,439,22.51,4365
2003,USA,Barley,2675,313,31.18,2447
2003,USA,Soybean,2976,230,18.53,511
2003,Brazil,Wheat,1456,491,23.17,3522
2003,Brazil,Rice,2063,280,19.86,2890
2003,Brazil,Maize,1649,311,27.95,1504
2003,Brazil,Barley,320,416,20.77,4931
2003,Brazil,Soybean,2138,126,32.45,1214
2003,China,Wheat,350,280,14.93,640
2003,China,Rice,769,284,12.54,1463
2003,China,Maize,672,61,26.75,2192
2003,China,Barley,1479,300,24.52,605
2003,China,Soybean,1743,167,27.9,4516
2003,Australia,Wheat,2936,141,30.58,4945
2003,Australia,Rice,1586,360,31.49,4154
2003,Australia,Maize,2659,250,24.18,535
2003,Australia,Barley,1407,461,12.18,2345
2003,Australia,Soybean,1708,181,11.09,3438
2003,Nigeria,Wheat,2488,384,25.95,1800
2003,Nigeria,Rice,1543,402,29.84,509
2003,Nigeria,Maize,1283,387,19.02,3131
2003,Nigeria,Barley,2499,217,23.92,1816
2003,Nigeria,Soybean,1903,59,28.3,4183
2003,Argentina,Wheat,445,412,25.6,3540
2003,Argentina,Rice,1762,251,13.82,2084
2003,Argentina,Maize,782,117,31.57,1130
2003,Argentina,Barley,961,441,17.81,2966
2003,Argentina,Soybean,1287,464,23.67,1149
2004,India,Wheat,1268,87,25.8,940
2004,India,Rice,1220,267,16.86,4858
2004,India,Maize,1877,383,21.14,4508
2004,India,Barley,2806,496,18.53,2849
2004,India,Soybean,1903,227,18.43,1690
2004,USA,Wheat,2968,45,12.14,4948
2004,USA,Rice,2222,82,18.08,2414
2004,USA,Maize,1393,434,25.43,2304
2004,USA,Barley,2908,325,11.69,3064
2004,USA,Soybean,2775,36,26.0,3323
2004,Brazil,Wheat,2035,59,27.0,2928
2004,Brazil,Rice,357,268,14.76,3274
2004,Brazil,Maize,1495,267,19.07,4374
2004,Brazil,Barley,2701,480,21.63,1161
2004,Brazil,Soybean,1765,45,34.04,2834
2004,China,Wheat,1316,320,23.4,2993
2004,China,Rice,932,64,28.9,2431
2004,China,Maize,2862,153,19.56,4943
2004,China,Barley,2974,113,10.5,4443
2004,China,Soybean,1571,373,16.09,785
2004,Australia,Wheat,448,93,25.59,2266
2004,Australia,Rice,1099,170,25.21,3007
2004,Australia,Maize,1823,235,11.58,2101
2004,Australia,Barley,2708,350,18.66,2996
2004,Australia,Soybean,2166,332,19.92,2189
2004,Nigeria,Wheat,610,271,32.98,2690
2004,Nigeria,Rice,641,325,31.29,4607
2004,Nigeria,Maize,860,51,23.49,2326
2004,Nigeria,Barley,1993,471,30.15,4419
2004,Nigeria,Soybean,1247,23,12.02,4725
2004,Argentina,Wheat,2111,475,26.02,2485
2004,Argentina,Rice,1092,262,31.55,4759
2004,Argentina,Maize,394,279,13.48,737
2004,Argentina,Barley,2728,445,22.56,2460
2004,Argentina,Soybean,1348,150,19.19,3464
2005,India,Wheat,1263,34,15.81,4723
2005,India,Rice,391,150,33.41,4103
2005,India,Maize,1981,486,12.64,4985
2005,India,Barley,2184,52,25.49,3210
2005,India,Soybean,2814,296,11.53,2453
2005,USA,Wheat,2692,139,22.12,1189
2005,USA,Rice,1576,424,27.38,956
2005,USA,Maize,1282,92,14.27,4744
2005,USA,Barley,1652,165,17.58,1382
2005,USA,Soybean,2610,89,27.29,1108
2005,Brazil,Wheat,2095,112,15.72,2648
2005,Brazil,Rice,1682,389,17.66,1319
2005,Brazil,Maize,719,133,31.2,2008
2005,Brazil,Barley,1897,265,14.87,2639
2005,Brazil,Soybean,1849,464,28.34,3145
2005,China,Wheat,809,192,20.4,2793
2005,China,Rice,1041,88,24.55,1400
2005,China,Maize,2412,22,10.3,741
2005,China,Barley,2840,222,14.97,4768
2005,China,Soybean,971,173,19.29,2942
2005,Australia,Wheat,1002,414,31.11,4778
2005,Australia,Rice,928,291,13.18,1045
2005,Australia,Maize,1887,121,28.43,4304
2005,Australia,Barley,1759,422,21.49,2944
2005,Australia,Soybean,2972,114,12.55,3691
2005,Nigeria,Wheat,692,434,27.2,1071
2005,Nigeria,Rice,2376,106,31.02,4397
2005,Nigeria,Maize,2579,286,30.63,3349
2005,Nigeria,Barley,1075,452,21.25,578
2005,Nigeria,Soybean,1155,182,13.75,2648
2005,Argentina,Wheat,1331,342,10.95,4682
2005,Argentina,Rice,2390,394,11.8,907
2005,Argentina,Maize,1968,157,28.44,4397
2005,Argentina,Barley,2250,375,34.79,4994
2005,Argentina,Soybean,1534,400,29.6,1062
2006,India,Wheat,2789,270,23.74,2537
2006,India,Rice,2867,329,20.61,4194
2006,India,Maize,1291,377,34.2,1746
2006,India,Barley,659,418,34.4,3493
2006,India,Soybean,1262,58,16.39,2113
2006,USA,Wheat,1940,178,34.0,4714
2006,USA,Rice,489,264,34.21,2696
2006,USA,Maize,951,356,34.5,2921
2006,USA,Barley,1080,190,33.01,4483
2006,USA,Soybean,1611,297,26.41,1022
2006,Brazil,Wheat,821,280,12.77,2730
2006,Brazil,Rice,1988,497,20.8,4197
2006,Brazil,Maize,2761,477,13.04,3859
2006,Brazil,Barley,985,122,26.15,4566
2006,Brazil,Soybean,2469,41,17.92,538
2006,China,Wheat,2844,277,32.97,2696
2006,China,Rice,2227,311,28.21,1146
2006,China,Maize,962,245,11.35,4851
2006,China,Barley,897,159,34.62,3081
2006,China,Soybean,1069,38,27.13,782
2006,Australia,Wheat,1786,416,31.02,960
2006,Australia,Rice,2625,180,28.95,1876
2006,Australia,Maize,814,200,12.65,522
2006,Australia,Barley,2760,39,31.83,1804
2006,Australia,Soybean,1434,145,21.54,4227
2006,Nigeria,Wheat,2476,373,28.16,948
2006,Nigeria,Rice,2223,113,14.85,2355
2006,Nigeria,Maize,1173,363,15.1,3581
2006,Nigeria,Barley,1728,393,30.38,1422
2006,Nigeria,Soybean,2459,22,23.47,3479
2006,Argentina,Wheat,2945,243,29.02,3113
2006,Argentina,Rice,2556,471,15.06,3989
2006,Argentina,Maize,2934,409,13.72,4395
2006,Argentina,Barley,1424,195,19.21,1904
2006,Argentina,Soybean,1455,29,29.51,1513
2007,India,Wheat,526,163,19.79,2523
2007,India,Rice,1170,414,10.73,4783
2007,India,Maize,1380,438,12.32,3690
2007,India,Barley,2930,13,22.75,4086
2007,India,Soybean,635,195,24.04,3447
2007,USA,Wheat,2883,171,24.98,3759
2007,USA,Rice,359,412,22.46,1163
2007,USA,Maize,1432,85,29.62,3474
2007,USA,Barley,1167,201,23.01,4778
2007,USA,Soybean,2460,192,15.9,1330
2007,Brazil,Wheat,1951,122,24.96,3310
2007,Brazil,Rice,1626,468,28.34,2336
